Campaign,Campaign type,Campaign status,Campaign daily budget,Budget type,Bid strategy type,Networks,Languages,Final URL suffix
TML | Search | Head Terms,Search,Paused,171.05,Daily,Manual CPC,Google search;Search Partners,en,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&mt={matchtype}&dev={device}
TML | Search | Install & Replace,Search,Paused,82.24,Daily,Manual CPC,Google search;Search Partners,en,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&mt={matchtype}&dev={device}
TML | Search | Commercial & Gates,Search,Paused,29.61,Daily,Manual CPC,Google search;Search Partners,en,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&mt={matchtype}&dev={device}
TML | Search | Components & Symptoms,Search,Paused,26.32,Daily,Manual CPC,Google search;Search Partners,en,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&mt={matchtype}&dev={device}
TML | Search | Competitor,Search,Paused,13.16,Daily,Manual CPC,Google search;Search Partners,en,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&mt={matchtype}&dev={device}
TML | Search | Brand,Search,Paused,6.58,Daily,Manual CPC,Google search;Search Partners,en,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&mt={matchtype}&dev={device}
